shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
316,Under Armour Curry 4,Under Armour,Stephen Curry,2017-11-01,Built for quickness and court feel,High Top,129.99
317,ANTA KT3,ANTA,Klay Thompson,2017-11-01,Great performer that will work for all players,High Top,119.99
318,Nike Lebron 15,Nike,Lebron James,2017-11-01,Works extremely well for big guys that need a lot of impact protection.,High Top,184.99
319,Air Jordan 32,Jordan,Michael Jordan,2017-10-01,All-around performer that will work for all types of basketball players,Mid Top,184.99
320,Adidas Dame 4,Adidas,Damian Lillard,2017-10-01,"Works best for quick guards looking for a low-to-the-ground, responsive and light basketball shoe.",Low Top,114.99
321,Air Jordan 32 Low,Jordan,Michael Jordan,2017-10-01,Perfect for Jordan fans that prefer the freedom and flexibility of a low-top,Low Top,159.99
322,Adidas D Rose 8,Adidas,Derrick Rose,2017-09-01,Perfect if you are looking for traditional high-top basketball shoes,High Top,139.99
323,Nike Hyperdunk Flyknit 2017,Nike,,2017-08-01,Perfect shoe for guards who value court feel,High Top,159.99
324,Nike Kobe AD Mid,Nike,Kobe Bryant,2017-08-01,Poor ventilation is problematic if your feet sweat a lot,Mid Top,149.99
325,Under Armour Drive 4,Under Armour,,2017-08-01,Will work best for wide-footers,High Top,114.99
326,Jordan Super.Fly 2017,Jordan,,2017-08-01,A durable and supportive shoe which will work great for bigger guys.,Mid Top,139.99
327,Adidas Crazy Explosive PrimeKnit 2017,Adidas,,2017-07-01,Works for players of all positions,High Top,149.99
328,Nike Zoom Shift,Nike,,2017-06-01,Budget option for guards with narrow feet,Low Top,99.99
329,Nike Lebron Soldier 11,Nike,Lebron James,2017-06-01,Recommended for bigger guys who look for impact protection and support,Mid Top,129.99
330,Nike KD 10,Nike,Kevin Durant,2017-05-01,Recommended if you value impact protection and do not rely on hard cuts,Low Top,149.99
331,Under Armour Curry 3Zero,Under Armour,Stephen Curry,2017-05-01,Curry 3Zero is a solid performer at a fair price,Mid Top,119.99
332,ANTA KT Outdoor 2 Low,ANTA,Klay Thompson,2017-05-01,Works best as an affordable outdoor shoe,Low Top,79.99
333,Nike Kobe AD NXT,Nike,Kobe Bryant,2017-04-01,Works best for quick guards,Low Top,199.99
334,Nike PG1,Nike,Paul George,2017-03-01,Works best for guards with regular or narrow feet,Low Top,109.99
